产品简称,当年收益%
凯兴博远3号,-0.5
鑫安泽雨5期,-0.5
东达趋势投资一期,-0.5
明泰宏盈1号,-0.5
五矿鑫扬智选一号,-0.5
高溪多空趋势2号,-0.5
大虎A股1号,-0.51
易同领先,-0.52
中风投一号,-0.53
前海旗隆对冲分级基金..,-0.55
旗隆医药对冲基金一期,-0.55
民创1号,-0.56
金域量化9期,-0.57
凡得幸福轮动4号,-0.57
森淼优选2号,-0.58
云峰2期,-0.58
奕金安2期,-0.59
国泰君安君享新利三号,-0.59
菩提成长1号,-0.59
或然赋利1期,-0.59
海燕四季收益1期,-0.59
翼丰101号,-0.6
鑫然盛世2号,-0.6
易同精选三期,-0.6
浦江之星176号,-0.61
明河优质企业,-0.62
灿熙1号,-0.63
旭诺成长对冲2号,-0.64
鼎萨2期,-0.65
平安阖鼎臻选之万杉,-0.65
知几投资灵活配置2期,-0.65
佳泰得量化价值1号,-0.67
千灯恒力1号,-0.7
相聚晓兴一期,-0.7
滚雪球赢智一号,-0.73
胜达成长4期,-0.73
双隆鼎实5号三期,-0.73
德邦慧选1号,-0.73
尊岳进取5号,-0.74
红投1号,-0.74
轩玖量化对冲策略,-0.75
银河稳汇10号,-0.75
银河稳汇9号,-0.75
富果同享1号,-0.76
国金慧泉精选对冲20号,-0.76
国泰君安君享新利一号,-0.76
睿添富2-1号,-0.78
易同优选,-0.79
睿远汇利精选,-0.79
金新东方红3号,-0.8
智多星2号,-0.8
鑫丰2号,-0.8
独股九剑1期,-0.8
鸿逸中云一号,-0.82
道睿择2期,-0.82
万丰友方避险增值2期,-0.84
广州鲲鹏新兴行业精选..,-0.84
明湾福钥1号,-0.86
永隆量化趋势,-0.86
财富广誉远安宫清心,-0.88
西南证券益乾2号,-0.89
笃道1期,-0.89
投资精英之博道A,-0.89
若愚量化动态对冲1期,-0.89
投资精英之博道C,-0.9
新沃邦开元价值精选壹号,-0.9
巨杉二次方1号,-0.9
福民财富1号,-0.92
工银量化恒盛精选,-0.92
和聚光明1号,-0.93
万丰友方稳健成长3期,-0.95
万丰友方稳健成长2期,-0.97
道易简成长1号,-0.98
勤晟泓熹价值,-1
金辇投资添财壹号,-1
证大精选,-1
弘安价值优选1号,-1
曜灵4号,-1
天生桥A股投资基金二期,-1.02
融惠优选3期-3号投资..,-1.03
天倚道樟鄂1号,-1.04
