"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"1195","黄金优选17期3号",-1.91,"7.58",6.69,9.43
"379","黄金优选17期5号",33.03,"45.79",44.57,48.37
"380","黄金优选17期6号",33.03,"45.79",44.57,48.37
"1057","黄金优选1期10号",4.55,"16.71",19.64,27.63
"1044","黄金优选1期11号",4.71,"16.82",19.75,27.71
"1089","黄金优选1期12号",3.3,"15.36",18.29,26.24
"1058","黄金优选1期15号",4.52,"16.62",19.56,27.5
"1049","黄金优选1期16号",4.65,"16.81",19.74,27.68
"1043","黄金优选1期17号",4.72,"16.68",19.57,27.44
"1053","黄金优选1期18号",4.6,"16.74",19.68,27.65
"1066","黄金优选1期1号",4.4,"16.53",19.46,27.43
"1062","黄金优选1期2号",4.47,"16.63",19.57,27.56
"1054","黄金优选1期3号",4.59,"16.76",19.7,27.7
"1069","黄金优选1期4号",4.27,"16.39",19.32,27.25
"1061","黄金优选1期5号",4.48,"16.6",19.52,27.47
"1067","黄金优选1期6号",4.38,"16.52",19.45,27.42
"1095","黄金优选1期7号",3.02,"14.77",17.24,24.68
"1048","黄金优选1期8号",4.66,"16.75",19.68,27.64
"1050","黄金优选1期9号",4.62,"16.7",19.63,27.58
"1259","黄金优选20期1号",-4.83,"4.64",5.66,6.45
"195","黄金优选21期1号",48.35,"53.04",79.08,80.82
"701","黄金优选4期11号",18.84,"26.59",27.24,39.35
"707","黄金优选4期12号",18.55,"26.33",27,39.15
"338","黄金优选4期1号",35.27,"42.96",43.94,57.67
"327","黄金优选4期2号",35.96,"42.08",42.86,53.94
"337","黄金优选4期3号",35.28,"42.85",43.85,57.28
"761","黄金优选4期6号",16.69,"23.33",23.89,34.3
"1221","黄金优选5期11号",-3.01,"-10.93",-1.18,-5.35
"1214","黄金优选5期12号",-2.78,"-10.34",-1.04,-3.91
"1104","黄金优选5期15号",2.73,"-4.47",4.4,0.63
"1155","黄金优选5期16号",0.35,"-6.64",1.96,-1.7
"1120","黄金优选5期17号",1.8,"-5.75",3.53,-0.41
"1185","黄金优选5期18号",-1.67,"-9.76",0.2,-4.06
"1224","黄金优选5期1号",-3.18,"-11.5",-1.26,-5.65
"1039","黄金优选5期3号",5,"-1.3",6.46,3.19
"1315","黄金优选5期4号",-8.39,"-15.4",-6.79,-10.46
"1222","黄金优选5期5号",-3.08,"-10.91",-1.27,-5.39
"1204","黄金优选5期6号",-2.34,"-10.1",-0.55,-4.64
"1219","黄金优选5期7号",-2.87,"-10.9",-1.01,-5.06
"1232","黄金优选5期8号",-3.53,"-11.64",-1.65,-5.64
"1197","黄金优选5期9号",-1.95,"-9.93",-0.11,-4.31
"915","黄金优选7期1号",10.33,"15.67",20.68,26.98
"971","黄金优选7期2号",7.81,"13.26",18.37,24.8
"1035","黄金优选7期3号",5.14,"10.52",15.5,21.75
"1233","黄金优选7期4号",-3.62,"1.18",5.63,11.24
"950","黄金优选7期8号",8.94,"14.53",19.69,26.2
"1371","黄金优选9期1号",-13.35,"-6.37",-6.51,-2.19
"1376","黄金优选9期2号",-13.76,"-6.84",-6.99,-2.73
"121","黄金优选二期八号",58.33,"29.88",43.28,62.46
"123","黄金优选二期二号",58.22,"30.3",43.26,61.82
"118","黄金优选二期九号",58.79,"30.21",43.68,62.83
"114","黄金优选二期六号",59.22,"30.61",44.04,63.27
"120","黄金优选二期七号",58.57,"30.12",43.52,62.69
"116","黄金优选二期三号",59.18,"31.39",44.5,63.27
"109","黄金优选二期十号",59.71,"34.92",45.91,61.73
"286","黄金优选二期十一号",39.42,"19.98",29.13,42.31
"130","黄金优选二期四号",57.31,"29.85",42.79,61.21
"115","黄金优选二期五号",59.2,"30.5",44.02,63.3
"112","黄金优选二期一号",59.62,"31.3",44.62,63.7
"352","汇创稳健一号",34.59,"40.51",46.13,45.73
"1140","汇利3期",0.87,"15.43",20.54,31.3
"910","汇利5期",10.6,"18.21",23.28,33.1
"899","汇利优选",11.07,"17.05",20.68,30.67
"902","汇利优选10期",10.78,"17.83",24.84,32.56
"850","汇利优选2期",12.73,"19.95",25.17,34.57
"624","汇利优选9期",21.8,"30.86",38.48,46.32
"893","汇鑫01号",11.26,"14.27",15.66,21.32
"416","汇信-泓德3号",30.68,"30.11",18.32,26.4
"614","汇信-泓德4号",22.13,"21.55",16.79,24.66
"679","汇信-泓德5号",19.64,"18.99",14.3,22.23
